id,phone,city,name,type,addr
792,404-261-7015,atlanta,bradshaw's restaurant,southern/soul,2911 s. pharr court
793,404-231-5907,atlanta,brookhaven cafe,vegetarian,4274 peachtree rd.
794,404-256-1675,atlanta,cafe sunflower,health food,5975 roswell rd.
795,770-432-2663,atlanta,canoe,american (new),4199 paces ferry rd.
796,770-422-8042,marietta,carey's,hamburgers,1021 cobb pkwy. se
797,770-933-0909,marietta,carey's corner,hamburgers,1215 powers ferry rd.
798,404-262-2675,atlanta,chops,steakhouses,70 w. paces ferry rd.
799,404-255-4868,atlanta,chopstix,chinese,4279 roswell rd.
800,404-523-1929,atlanta,deacon burton's soulfood restaurant,southern/soul,1029 edgewood ave. se
801,404-888-9149,atlanta,eats,italian,600 ponce de leon ave.
802,404-687-8888,atlanta,flying biscuit  the,eclectic,1655 mclendon ave.
803,404-892-8226,atlanta,frijoleros,tex-mex,1031 peachtree st. ne
804,770-992-5383,roswell,greenwood's,southern/soul,1087 green st.
805,404-627-9268,atlanta,harold's barbecue,bbq,171 mcdonough blvd.
806,404-636-4094,atlanta,havana sandwich shop,cuban,2905 buford hwy.
807,770-955-9444,smyrna,house of chan,chinese,2469 cobb pkwy.
808,100-813-8212,duluth,indian delights,indian,3675 satellite blvd.
809,404-876-6161,atlanta,java jive,coffee shops,790 ponce de leon ave.
810,770-955-6068,atlanta,johnny rockets (at),american,2970 cobb pkwy.
811,404-325-3733,decatur,kalo's coffee house,coffeehouses,1248 clairmont rd.
812,404-303-8201,atlanta,la fonda latina,spanish,4427 roswell rd.
813,770-418-9969,duluth,lettuce souprise you (at),cafeterias,3525 mall blvd.
814,404-875-0276,atlanta,majestic,diners,1031 ponce de leon ave.
815,404-577-4366,atlanta,morton's of chicago (atlanta),steakhouses,303 peachtree st. ne
816,404-636-4280,atlanta,my thai,thai,1248 clairmont rd.
817,404-240-1984,atlanta,nava,southwestern,3060 peachtree rd.
818,404-352-9009,atlanta,nuevo laredo cantina,mexican,1495 chattahoochee ave. nw
819,404-237-4116,atlanta,original pancake house (at),american,4330 peachtree rd.
820,404-814-1955,atlanta,palm  the (atlanta),steakhouses,3391 peachtree rd. ne
821,404-633-3538,decatur,rainbow restaurant,vegetarian,2118 n. decatur rd.
822,404-659-0400,atlanta,ritz-carlton cafe (atlanta),american (new),181 peachtree st.
823,404-262-7112,atlanta,riviera,mediterranean,519 e. paces ferry rd.
824,404-874-1388,atlanta,silver skillet  the,coffee shops,200 14th st. nw
825,404-233-2005,atlanta,soto,japanese,3330 piedmont rd.
826,404-688-5855,atlanta,thelma's kitchen,cafeterias,764 marietta st. nw
827,404-892-0193,atlanta,tortillas,tex-mex,774 ponce de leon ave. ne
828,770-993-1156,roswell,van gogh's restaurant & bar,american (new),70 w. crossville rd.
829,404-231-3111,atlanta,veggieland,vegetarian,220 sandy springs circle
830,404-237-7601,atlanta,white house restaurant,diners,3172 peachtree rd. ne
831,404-768-2705,college park,zab-e-lee,thai,4837 old national hwy.
832,415-221-5262,san francisco,bill's place,hamburgers,2315 clement st.
833,415-621-8579,san francisco,cafe flore,californian,2298 market st.
834,415-397-6261,san francisco,caffe greco,continental,423 columbus ave.
835,415-433-9623,san francisco,campo santo,mexican,240 columbus ave.
836,415-386-5758,san francisco,cha cha cha's,caribbean,1805 haight st.
837,415-921-2149,san francisco,doidge's,american,2217 union st.
838,415-885-2767,san francisco,dottie's true blue cafe,diners,522 jones st.
839,415-826-4639,san francisco,dusit thai,thai,3221 mission st.
840,415-566-1770,san francisco,ebisu,japanese,1283 ninth ave.
841,415-673-1155,san francisco,emerald garden restaurant,vietnamese,1550 california st.
842,415-282-0919,san francisco,eric's chinese restaurant,chinese,1500 church st.
843,415-626-1985,san francisco,hamburger mary's,hamburgers,1582 folsom st.
844,415-362-4454,san francisco,kelly's on trinity,californian,333 bush st.
845,415-863-8205,san francisco,la cumbre,mexican,515 valencia st.
846,415-431-7210,san francisco,la mediterranee,mediterranean,288 noe st.
847,415-285-7117,san francisco,la taqueria,mexican,2889 mission st.
848,415-776-8226,san francisco,mario's bohemian cigar store cafe,italian,2209 polk st.
849,415-665-9500,san francisco,marnee thai,thai,2225 irving st.
850,415-387-2244,san francisco,mel's drive-in,hamburgers,3355 geary st.
851,415-788-3779,san francisco,mo's burgers,hamburgers,1322 grant st.
852,415-775-5979,san francisco,phnom penh cambodian restaurant,cambodian,631 larkin st.
853,415-550-9213,san francisco,roosevelt tamale parlor,mexican,2817 24th st.
854,415-626-6006,san francisco,sally's cafe & bakery,american,300 de haro st.
855,415-431-8956,san francisco,san francisco bbq,thai,1328 18th st.
856,415-861-8032,san francisco,slanted door,vietnamese,584 valencia st.
857,415-673-1101,san francisco,swan oyster depot,seafood,1517 polk st.
858,415-431-2526,san francisco,thep phanom,thai,400 waller st.
859,415-252-7373,san francisco,ti couz,french,3108 16th st.
860,415-563-2248,san francisco,trio cafe,american,1870 fillmore st.
861,415-626-0927,san francisco,tu lan,vietnamese,8 sixth st.
862,415-863-2382,san francisco,vicolo pizzeria,pizza,201 ivy st.
863,415-775-1055,san francisco,wa-ha-ka oaxaca mexican grill,mexican,2141 polk st.
