id,venue,address,pages,year,author,publisher,title,editor,note,month,volume,institution
564,"in proceedings of the seventh acm conference on computational learning theory,",,"pp. 76-87,","1994,","d. haussler, m. kearns, h.s. seung, and n. tishby,",morgan kaufmann.,"'rigorous learning curve bounds from statistical mechanics',","m. warmuth, ed.",,,,
565,"in proceedings of the seventh workshop on computational learning theory',",,,1994.,"d. haussler, m. kearns, h.s. seung and n. tishby,","acm press,","'rigorous learning curve bounds from statistical mechanics',",,,,,
566,"proceedings of colt 1994,",,pp. 76-85.,,"d. haussler, m. kearns, s. seung, n tishby,",,"'rigorous learning curve bounds from statistical mechanics',",,,,,
567,"proc. of the 7th annual acm conference on computational learning theory 1994, acm-press (1994),",,,,"d. haussler, m. kearns, h. s. seung, n. tishby,",,"rigorous learning curve bounds from statistical mechanics,",,,,76 - 87.,
568,"in proceedings of the seventh annual workshop on computational learning theory (colt-94),",,"pages 76-87,",1994.,"d. haussler, m. kearns, h. s. seung, and n. tishby.",,rigorous learning curve bounds from statistical mechanics.,,,,,
569,"machine learning,",,"83-113,",1994.,"david haussler, michael kearns, and robert e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
570,"machine learning,",,"83-113,",1994.,"david haussler, michael kearns, and robert e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
571,machine learning 14(1),,83-113.,,"haussler, david; kearns, michael; and schapire, robert 1994.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,,
572,machine learning 14,,83-113.,1994.,"haussler, d.; kearns, m.; and schapire, r.e.",,bounds on the sample complexity of bayesian learning using informations theory and the vc dimension.,,,,,
573,"machine learning,",,"83-113,",1994.,"david haussler, michael kearns, and robert schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
574,"machine learning,",,"83-113,",1994.,"d. haussler, m. kearns, and r. e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14(1),
575,"machine learning,",,,,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,to appear.,,,
576,"machine learning,",,"84-114,",1994.,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
577,"machine learning,",,"83-113,",1994.,"d. haussler, m. kearns, and r. e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14(1),
578,"machine learning,",,"83-113,",1994.,"d. haussler, m. kearns, and r. e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14(1),
579,"machine learning,",,"83-113,",1994.,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information thjeory and the vc dimension.,,,,14(1),
580,"machine learning,",,,(1994).,"d. haussler, m. kearns, r.",,"schapire,",,,,"14, 83,",
581,"machine learning journal,",,"83-113,",1994.,"d. haussler, m kearns, and r. shapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14(1),
582,"machine learning,",,"84-114,",1994.,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
583,"machine learning,",,"83-113,",1994.,"david haussler, michael kearns, and robert e. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,,,14,
584,machine learning.,,,,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,to appear.,,,
585,"machine learning,",,,,"d. haussler, m. kearns, and r. schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,to appear.,,,
586,"machine learning,",,"195-236,",1996.,"d. haussler, m. kearns, h.s. seung, and n. tishby.",,rigourous learning curve bounds from statistical mechanics.,,,,25,
587,"machine learning,","25:195--236,",,1996.,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,rigorous learning curve bounds from statistical mechanics.,,,,,
588,"machine learning,",,"195-236,",1996.,"d. haussler, m. kearns, h.s. seung, and n. tishby.",,rigorous learning curve bounds from statistical mechanics.,,,,25,
589,"in proceedings of the eighth annual conference on computational learning theory,",,"pages 61-68,",1995.,d.p. helmbold and r.e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,,,,
590,"in proceedings of the eighth annual conference on computational learning theory,",,"pages 61-68,",1995.,david p. helmbold and robert e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,,,,
591,"in proceedings of the 8th annual conference on computational learning theory,","new york, ny, 1995.","pages 61-68,",,david p. helmhold and robert e. schapire.,acm press.,predicting nearly as well as the best pruning of a decision tree.,,,,,
592,"proceedings of the eighth annual conference on computational learning theory,",,"pages 61 - 68,",1995.,david p. helmbold and robert e. schapire.,"acm press,",predicting nearly as well as the best pruning of a decision tree.,,,,,
593,"in proc. 6th annu. conf. on comput. learning theory,","new york, ny,",pages 61-68.,1995.,d. p. helmbold and r. e. schapire.,"acm press,",predicting nearly as well as the best pruning of a decision tree.,,,july,,
594,"to appear in the proceedings of the eighth annual conference on computational learning theory,","santa cruz,",,1995.,d. p. helmbold and r. e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,,july,,
595,"in proceedings of the eighth annual conference on computational learning theory,",,"pages 69-78,",1995.,"david p. helmbold, robert e. schapire, yoram singer, and manfred k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,,,,
596,"in proceedings of the eighth annual workshop on computational learning theory,",,"pages 69-78,",1995.,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,,,,
597,"appearing in proc. of the eighth annual conf. on computational learning theory,",,,1995,"d.p. helmbold, r.e. schapire, y. singer,",,"m.k. warmuth, a comparison of new and old algorithms for a mixture estimation problem,",,,july,,
598,"in proceedingsof the eighth annual workshop on computationallearning theory,",,"pages 69-78,",1995.,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,,,,
599,"technical report ucsc-crl-95-50,",,,1995.,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,an extended abstract appeared in colt '95.,october,,"university of california, santa cruz, computer research laboratory,"
600,"in proc. 13th international conference on machine learning,","san francisco,",pages 243-251.,1996.,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.","morgan kaufmann,",on-line portfolio selection using multiplicative upyears.,,,,,
601,in machine learning: proceedings of the 13th international conference.,,,1996.,"d. helmbold, r. schapire, y. singer, and m. war muth.",,on-line portfolio selection using multiplicative upyears.,,,,,
602,in machine learning: proceedings of the 13th international conference.,,,1996.,"d. helmbold, r. schapire, y. singer, and m. war-muth.",,on-line portfolio selection using multiplicative upyears.,,,,,
603,in: machine learning: proceedings of the thirteenth international conference.,,,1997.,"helmbold, d. p., r. e. schapire, y. singer and m. k.",,warmuth (1996). on-line portfolio selection using multilpicative upyears.,,,"revised july,",,
604,"in 'proceedings, 13th international conference on machine learning,'",san francisco (to appear).,,"(1996c),","helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.","morgan kaufmann,","on-line portfolio selection using multiplicative upyears,",,,,,
605,in machine learning: proceedings of the thirteenth international conference.,,,1997.,"helmbold, d. p., schapire, r. e., singer, y., and war-muth, m. k.",,on-line portfolio selection using multiplicative upyears.,,,"revised july,",,
606,"in proc. 13th international conference on machine learning,",san francisco:,pp. 243-251. 35,"1996,","d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,","morgan kaufmann,","'on-line portfolio selection using multiplicative upyears,'",,,,,
607,"in proc. of the thirteenth intl. conf. on machine learning,",,,1996.,"d. p. helmbold, r. e. schapire, y. singer, and m. k. war-muth.",,on-line portfolio selection using multiplicative upyears.,,,,,
608,"in proc. 13th international conference on machine learning,","san fran-cisco,",pages 243251.,1996.,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.","morgan kaufmann,",on-line portfolio selection using multiplicative upyears.,,,july,,
609,,,,"(1996b),","helmbold, d. p., schapire, r. e., singer, y., and warmuth, m. k.",,"a comparison of new and old algorithms for a mixture estimation problem,",,machine learning (to appear).,,,
610,"machine learning,",,51-68.,(1997).,"helmbold, d. p., & schapire, r. e.",,predicting nearly as well as the best pruning of a decision tree.,,,,"27,",
611,"machine learning,",,"51-68,",1997.,d.p. helmbold and r.e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,,,27(1),
612,"machine learning,","27:97119,",,1997.,"d.p. helmbold, r.e. schapire, y. singer, and m.k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,4 available from http://www.sgi.com/technology/mlc/.,,,
613,"machine learning,",,"97-119,",1997.,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,,,27(1),
614,"machine learning,",,"pp. 97-119,",1997.,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth,",,"'a comparison of new and old algorithms for a mixture estimation problem,'",,,,"vol. 27,",
615,"machine learning,",,,1997.,"d. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",,a comparison of new and old algorithms for a mixture estimation problem.,,to appear.,,,
616,"in aaai-93,",,pages 34-39.,,"h. kautz, m. kearns, and b. selman.",,reasoning with characteristic models.,,,,,
617,"in proceedings of aaai-1993,",,34-39.,,"kautz, h. a., kearns, m. j., & selman.",,b (1993). reasoning with characteristic models.,,,,,
618,"in proc. of the national conference on artificial intelligence (1993),",,pp. 34-39.,1993.,"kautz, h., kearns, m., and selman, b.",,reasoning with characteristic models.,,,,,
619,"in proceedings of the national conference on artificial intelligence,",,pages 34-39.,1993.,"kautz, h., m. kearns, and b. selman.",,reasoning with characteristic models.,,,,,
620,"in proceedings of the national conference on artificial intelligence,",,34-39.,1993.,"kautz, h.; kearns, m.; and selman, b.",,reasoning with characteristic models.,,,,,
621,"proceedings of aaai,",,,1993.,"h.a. kautz, m.j. kearns, b. selman.",,reasoning with characteristic models.,,,,,
622,"technical report,","murray hill, nj.",,,"kautz, henry; kearns, michael; and selman,",,bart 1993. reasoning with characteristic models.,,,,,"at&t bell laboratories,"
623,"proceedings aaai-93 , washington,",dc (1993) 34-39.,,,"h. kautz, m. kearns, and b. selman,",,"reasoning with characteristic models,",,,,,
624,"in proceedings of the national conference on artificial intelligence,",,"pages 34-39,",1993.,"h. kautz, m. kearns, and b. selman.",,reasoning with characteristic models.,,,,,
625,"in proceedings of the 11th national conference on artificial intelligence,","washington, dc, july 1993.","pages 34-39,",,"h. a. kautz, m. j. kearns, and b. selman.",aaai press.,reasoning with characteristic models.,,,,,
626,"artificial intelligence,",,129-145.,,"kautz, h. a., kearns, m. j., & selman.",,b (1995) horn approximations of empirical data.,,,,"vol. 74,",
627,"artificial intelligence,",,129-145.,(1995).,"kautz, h., kearns, m., & selman, b.",,horn approximations of empirical data.,,,,"74,",
628,"artificial intelligence,",,129-145.,"1995,","kautz, h., kearns, m., and selman, b.",,horn approximations of empirical data.,,,,"vol. 74,",
629,"artificial intelligence 74,",,129-145.,1995.,"kautz, h., kearns, m., and selman, b.",,horn approximations of empirical data.,,,,,
630,artificial intelligence. forthcoming.,,,1994.,"kautz, h., m. kearns, and b. selman.",,horn approximations of empirical data.,,,,,
631,"artificial intelligence,",,129-145.,1995.,"kautz, h., m. kearns, and b. selman.",,horn approximations of empirical data.,,,,74,
632,artificial intelligence. forthcoming.,,,1994.,"kautz, h.; kearns, m.; and selman, b.",,horn approximations of empirical data.,,,,,
633,"artificial intelligence,",,,1994.,"h.a. kautz, m.j. kearns, b. selman.",,horn approximations of empirical data.,,,,,
634,"artificial intelligence,",,"129-145,",1994.,"henry a. kautz, michael j. kearns, and bart selman.",,horn approximations of empirical data.,,,,74,
635,artificial intelligence.,,,,"kautz, henry a.; kearns, michael j.; and selman, bart ppear.",,horn approximations of empirical data.,,,,,
636,artif. intell.,,,,"henry a. kautz, michael j. kearns and bart selman,",,"horn approximations of empirical data,",,(to appear).,,,
637,"artificial intelligence,",,,1994.,"h. kautz, m. kearns, and b. selman.",,horn approximations of empirical data.,,,forthcoming.,,
638,"artificial intelligence,",,,,"h. kautz, m. kearns and b. selman.",,"horn approximations of empirical data,",,,,"74 (1995), 129 - 145.",
639,"artificial intelligence,",,"129-145,",1995.,"h. kautz, m. kearns, and b. selman.",,horn approximations of empirical data.,,,,74,
640,"artificial intelligence,",,"129-145,",1995.,"h. kautz, m. kearns, and b. selman.",,horn approximations of empirical data.,,,,74,
641,"artificial intelligence,",,"129-145,",1995.,"henry kautz, michael kearns, and bart selman.",,horn approximations of empirical data.,,,,74,
642,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,","pages 285-295,",1987.,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,,may,,
643,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,","pages 285-295,",1987.,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formu lae.,,,may,,
644,"in proceedings of the nineteenth annual acm symposium on the theory of computing,","new york, new york,","pages 285-295,",1987.,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,,may,,
645,"in proceedings of the nineteenth annual acm symposium on theory of computing (stoc-87),",,pages 285-295.,1987a.,"kearns, m. j., li, m., pitt, l., and valiant, l.",,on the learnability of boolean formulae.,,,,,
646,proceedings of the nineteenth annual acm symposium on theory of computing (pp.,,285-295).,(1987).,"kearns, m., li, m., pitt, l., & valiant, l.",,on the learnability of boolean formulae.,,,,,
647,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, ny:",(pp. 285-295).,(1987).,"kearns, m., li, m., pitt, l., & valiant, l.g.",acm press.,on the learnability of boolean formulae.,,,,,
648,in proceedings of the nineteenth annual acm symposium on the theory of computing (pp.,new york city: ny:,285-295).,1987.,"kearns, m., li, m., pitt, l., and valiant, l.",acm press.,on the learnability of boolean formula.,,,,,
649,"proceedings of the 19th annual acm symposium on theory of computing,","new york (1987),",285-295.,,"m. kearns, m. li, l. pitt, and l.",,"valiant [1987]. 'on the learnability of boolean formul,'",,,,,
650,"proceedings of the 19th annual symposium on the theory of computation,",,285-295.,"1987,","m. kearns, m. li, l. pitt, and l.g. valiant,",,on the learnability of boolean formulae.,,,,,
651,"in proceedings of the 19th symposium on the theory of computations,","new york,","pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
652,proc. 19th acm symposium on theory of computing (1987) 285-295.,,,,"m. kearns, m. li, l. pitt, and l. valiant,",,on the learnability of boolean formulae.,,,,,
653,"in proc. 19th stoc,",,pages 285-295.,1987.,"m. kearns, m. li, l. pitt, and l. valiant.","acm,",on the learn-ability of boolean formulae.,,,,,
654,"in proceedings of the 19th annual acm symposium on theory of computing,",,"pages 285-295,",1987.,"michael kearns, ming li, lenny pitt and leslie g. valiant.",,on the learnability of boolean formulae.,,,,,
655,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,"pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
656,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,pp. 285-295.,"1987,","m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,,,,
657,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,","pages 285-295,",1987.,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,,may,,
658,in proceedings of the nineteenth annual acm symposium on theory of computing (pp.,"new york, ny:",285-295).,(1987).,"kearns, m., li, m., pitt, l. & valiant, l. g.",acm press.,on the learnability of boolean formulae.,,,,,
659,"proc. of the 19th acm symp. theory of computing,",,pp. 285-295.,"1987,","kearns, m., li, m., pitt, l., and valiant, l.,",,"'on the learnability of boolean formulae,'",,,,,
660,"in proc. of the 19 th annual acm stoc,",,,1987.,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,,,,
661,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,"pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
662,"in 'proceedings, 19th acm symposium on theory of computing,",,pp. 285-295.,"1987,'","m. j. kearns, m. li, l. pitt, and l. valiant,",,"on the learnability of boolean formula,",,,,,
663,"in proc. 19th acm symposium on theory of computing,",,pages 285-295.,1987.,"m. kearns, m. li, l. pitt, and l. valiant.","acm press,",on the learnability of boolean formulae.,,,,,
664,"proceedings of the 19th annual symposium on the theory of computation,",,"pages 285295,",1987.,"m. kearns, m. li, l. pitt, and l.g. valiant.",,on the learn-ability of boolean formulae.,,,,,
665,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,pp. 285-295.,"1987,","m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,,,,
666,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,","pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
667,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,",pages 285-294.,1987.,"m. kearns, m. li, l. pitt, and l. valiant.","acm press,",on the learnability of boolean formulae.,,,,,
668,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,","pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
669,"in proc. 19 th acm symposium on theory of computing,",,pages 285-295.,1987.,"m. kearns, m. li, l. pitt, and l. valiant,","acm,","on the learnability of boolean formulae,",,,,,
670,"19th acm symposium on the theory of computing,","new york, ny,",pp. 285-295.,"1987,","kearns, m., m. li, l. pitt, l. valiant,",,"'on the learnability of boolean formulae',",,,,,
671,"in stoc-87,",,"pages 285-295,",1987.,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,,,,
672,"in proc. 19th annu. acm sympos. theory comput.,","new york, ny,",pages 285-294.,1987.,"m. kearns, m. li, l. pitt, and l. valiant.","acm press,",on the learnability of boolean formulae.,,,,,
673,"in proceedings of the nineteenth annual acm symposium on theory of computing,",,pp. 285-295.,"1987,","m. kearns, m. li, l. pitt, and l. valiant.","acm press,",on the learnability of boolean formulae.,,,,,
674,"in stoc-87, p.",,"285-295,",1987.,"m. kearns, m. li, l. pitt, and l. valiant.",,on the learnability of boolean formulae.,,,,,
675,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,","pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
676,"in proceedings of the 19th symposium on the theory of computations,","new york,","pages 285-295,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,on the learnability of boolean formulae.,,,may,,
677,"proceedings of the 19th a.c.m. symposium on the theory of computing,",,pp. 285-295.,"1987,","m. kearns, m. li, l. pitt, l.g. valiant.",,on the learnability of boolean formulae.,,,,,
678,"proceedings of the 19th annual acm symposium on theory of computing,",,"pp. 285-95,",1987.,"kearns, m., m. li, l. pitt and l. valiant,",,"on the learnability of boolean formula,",,,,,
679,"in proceedings of the fourth international conference on machine learning (ml-87),",,pages 337-352.,1987b.,"kearns, m. j., li, m., pitt, l., and valiant, l.",,recent results on boolean concept learning.,,,,,
680,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",337-352).,(1987).,"kearns, m., li, m., pitt, l., & valiant, l. g.",morgan kauf-mann.,recent results on boolean concept learning.,,,,,
681,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",337-352).,(1987).,"kearns, m., li, m., pitt, l., & valiant, l. g.",morgan kaufmann.,recent results on boolean concept learning.,,,,,
682,"proceedings of the fourth international workshop on machine learning,",los altos california).,"pages 337-352,",,"m. kearns, m. li, l. pitt, and l. valiant.","(published by morgan kaufmann,",recent results on boolean concept learning.,"in p. langley, editor,",,,,
683,"in proceedings of the fourth international workshop on machine learning,",,"pages 337-352,",1987.,"michael kearns, ming li, leonard pitt, and leslie valiant.",,recent results on boolean concept learning.,,,june,,"university of california, irvine,"
684,"proceedings of the 4th international workshop on machine learning,",,pp. 337-352.,"1987,","m. kearns, m. li, l. pitt, l.g. valiant.","morgan kaufmann publishers,",recent results on boolean concept learning.,,,,,
685,in proceedings stoc-88.,,,(1988).,"kearns, m. j. and li, m.",,learning in the presence of malicious errors.,,,,,
686,"in proceedings of the twentieth annual acm symposium on theory of computing (stoc-88),",,pages 267-280.,1988.,"kearns, m. j. and li, m.",,learning in the presence of malicious errors.,,,,,
687,"in proceedings of the twentieth annual acm symposium on theory of computing (chicago,","illinois,",pp. 267-280.,"1988),","kearns, m. and li, m.",,learning in the presence of malicious errors.,,,may,,
688,"proceedings of the 20th annual acm symposium on theory of computing, chicago (1988),",,267-280.,[1988].,m. kearns and m.,,"'learning in the presence of malicious errors,'",,,li,,
689,"proceedings of the 20th acm symposium on the theory of computation,",,pages 267-279.,(1988).,"m. kearns and m. li,",,learning in the presence of malicious errors.,,,,,
690,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,",pages 267-280.,1988.,m. kearns and m. li.,"acm press,",learning in the presence of malicious errors.,,,,,
691,,,,,"m. kearns, m. li,",,"learning in the presence of malicious errors,",,stoc 1988,,,
692,"proceedings of the 20th a.c.m. symposium on the theory of computing,",,pp. 267-280.,"1988,","m. kearns, m. li.",,learning in the presence of malicious errors.,,,,,
693,"in: proceedings of the 20th annual acm symposium on the theory of computation,","chicago, illinois (1988) 267-279.",,,"m. kearns, and m. li,",,"learning in the presence of malicious errors,",,,,,
694,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
695,"in proceedings of the twentieth annual acm symposium on theory of computing,",,"pages 267-280,",1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
696,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
697,"in proceedings of the twentieth annual acm symposium on theory of computing,",,"pages 267-280,",1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,"to appear, siam journal on computing.",may,,
698,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,","pages 267-280,",1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
699,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,168,,
700,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,33,,
701,"in proceedings of the twentieth annual acm symposium on theory of computing,",,,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,,,
702,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
703,"20th acm symposium on the theory of computing,","chicago, il,",pp. 267-280.,"1988,","kearns, m., m. li,",,"'learning in the presence of malicious errors',",,,,,
704,"in proc. 20th annu. acm sympos. theory comput.,","new york, ny,",pages 267-280.,1988.,m. kearns and m. li.,"acm press,",learning in the presence of malicious errors.,,,,,
705,"proceedings of the 20th acm symposium on the theory of computation,",,"pages 267-279,",1988.,m. kearns and m. li.,,learning in the presence of malicious errors.,,,15,,
706,"in proceedings of the 20 th annual acm symposium on theory of computing,","chicago, illinois,",,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
707,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,",,1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
708,"in proceedings of the twentieth annual acm symposium on theory of computing,","chicago, illinois,","pages 267-280,",1988.,michael kearns and ming li.,,learning in the presence of malicious errors.,,,may,,
709,"(unpublished),",,,1988.,michael kearns.,,thoughts on hypothesis boosting.,,,december,,
710,"technical report tr-14-88,",,,1988.,"kearns, m., l.g. valiant,",,"'learning boolean formulae or finite automata is as hard as factoring',",,,,,"aiken computation laboratory, harvard university,"
711,"technical report tr-14-88,","cambridge, ma,",,1988.,m. kearns and l.g. valiant.,,learning boolean formulae or finite automata is as hard as factoring.,,,,,"harvard university aiken computation laboratory,"
712,"technical report tr 14-88,",,,1988.,michael kearns and leslie g. valiant.,,learning boolean formulae or finite au tomata is as hard as factoring.,,,,,"harvard university aiken computation laboratory,"
713,"technical report tr-14-88,","cambridge, ma,",,1988.,m. kearns and l.g. valiant.,,learning boolean formulae or finite automata is as hard as factoring.,,,,,"harvard university aiken computation laboratory,"
714,"in proceedings of the 21 st annual acm symposium on theory of computing,","new york,","pages 433444,",1989.,m. kearns and l. g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
715,,,,,m. kearns and l. valiant.,stoc-89.,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,,
716,in proceedings of the 21st annual acm symposium on theory of computing.,,,(1989).,"kearns, m. & valiant, l.",acm press.,cryptographic limitations on learning boolean for mulae and finite automata.,,,,,
717,"in proceedings of the twenty first annual acm symposium on theory of computing (stoc-89),",,pages 433-444.,1989.,"kearns, m. j. and valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
718,"in proceedings of 21 st annual acm symposium on theory of computing,",,,1989.,"kearns, m. and valiant, l. g.,","assoc. com-put. mach.,","cryptographic limitations on learning boolean formulae and finite automata,",,,,,
719,"in proceedings of the twenty-first annual acm symposium on theory of computing,","seattle, wa:",(pp. 433-444).,(1989).,"kearns, m., & valiant, l.",acm press.,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
720,"pages 433-444 of: proceedings of the 21 st annual acm symposium on theory of computing. acm,",new york.,,1989).,"kearns, m., & valiant, l. g.",,cryptographic limitations on learning boolean formulae and finite automata.,,,(may,,
721,"in proceedings of the 21 st annual acm symposium on theory of computing,",new york:,433-444.,1989.,"kearns, m., and valiant, l. g.",acm.,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
722,,,,,m. kearns and l. valiant.,stoc-89.,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,,
723,"in proceedings of the 21 st annual acm symposium on theory of computing,",,,1989.,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
724,in: proc. 21st ann. acm symp. on theory of computing (1989) 433-444.,,,,"kearns, m., and valiant, l.,",,"'cryptographic limitations on learning boolean formulae and finite automata',",,,,,
725,proc. 21st acm symposium on theory of computing (1989) 433-444.,,,,"m. kearns and l. valiant,",,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
726,,,,,"m. kearns, l. valiant,",,"cryptographic limitations on learning boolean formulae and finite automata,",,stoc 1989.,,,
727,"in proceedings of the twenty first annual acm symposium on theory of computing,",,"pages 433-444,",1989.,michael kearns and leslie valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,to appear in jacm.,may,,
728,"in proc. 21st stoc,",,pages 433-444.,1989.,m. kearns and l. valiant.,acm.,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
729,"in proceedings of the twenty first annual acm symposium on theory of computing,",,"pages 433-444,",1989.,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,,may,,
730,"in proceedings of the twenty first annual acm symposium on theory of computing,",,"pages 433-444,",1989.,michael kearns and leslie g. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"to appear, journal of the association for computing machinery.",may,,
731,in proceedings of the twenty first annual acm symposium on theory of computing (pp.,"seattle, wa:",433-444).,(1989).,"kearns, m. & valiant, l. g.",acm press.,cryptographic limitations on learning boolean formulae and finite automata.,,,,,
